URL;"Image URL";Price;Title;Description;Characteristics
https://4lapy.ru/product/gold-fish-akvarium-pryamougolnyj-35-l-s-kryshkoj-42x25x39-sm-5829-1037442/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_60865.jpg&w=3840&q=70;2395;"Голд Фиш  Аквариум прямоугольный (35 л, 42x25x35,6 см) с крышкой";"Аквариум AquaGold  — это стеклянный аквариум с пластиковой крышкой, оснащен отверстием для кормления рыб и выемками для вывода проводов для светильника.  Внимание!  Лампа и декорации в комплект не входят. Размеры сняты с внешних граней стеклянного корпуса и указаны без учета крышки.";"{""Артикул"":""1037442"",""Бренды"":""Голд Фиш"",""Страна-производитель"":""Россия"",""Для кого"":""Рыбы"",""Назначение"":""Аквариумы прямоугольные"",""Материал изготовления"":""Стекло""}"
https://4lapy.ru/product/kaskad-oshejnik-dlya-sobak-krupnyh-porod-s-gruzami-semnymi-7-sht-kozhanyj-dvojnoj-45-65x4-5-sm-16082-1017979/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2F340666.jpeg&w=3840&q=70;5865;"Каскад  Ошейник для собак кожаный с грузами, обхват шеи 45-65 см, ширина 4,5 см, черный";"Тренировочный ошейник для собак - находка для спортсменов. Поставляется с 7 литыми съемными грузами по 170 грамм каждый. Обхват шеи от 45 до 65 см, ширина 45 мм.";"{""Артикул"":""1017979"",""Бренды"":""Каскад"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Крупный"",""Материал изготовления"":""Кожа"",""Базовый цвет"":""ЧЕРНЫЙ""}"
https://4lapy.ru/product/v-i-pet-v-i-pet-pro-oshejnik-dlya-sobak-krupnyh-porod-strogij-c-razvorotnoj-plastinoj-raznonapravlennye-zubya-70h3-8-sm-16736-1029718/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_46845.jpg&w=3840&q=70;2879;"V.I.Pet  -PRO Ошейник для собак крупных пород строгий c разворотной пластиной, разнонаправленные зубья 70х3,8 см";"Профессиональный. Предназначен для воспитания и подчинения собаки, а также сдерживания рвущихся собак средних и крупных пород.";"{""Артикул"":""1029718"",""Бренды"":""V.I.Pet"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Амуниция Строгачи"",""Размер питомца"":""Средний и крупный"",""Материал изготовления"":""Нержавеющая сталь"",""Базовый цвет"":""СЕРЫЙ"",""Обхват шеи"":""70.0""}"
https://4lapy.ru/product/pet-line-oshejnik-dlya-sobak-krupnyh-porod-strogij-55x3-2-sm-16702-1007291/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_10211.jpg&w=3840&q=70;1999;"Pet line  Ошейник для собак крупных пород строгий 55x3,2 см";;"{""Артикул"":""1007291"",""Бренды"":""Pet line"",""Страна-производитель"":""Китай"",""Для кого"":""Собаки"",""Назначение"":""Амуниция Строгачи"",""Размер питомца"":""Крупный"",""Материал изготовления"":""Металл"",""Базовый цвет"":""СЕРЫЙ"",""Обхват шеи"":""55.0""}"
https://4lapy.ru/product/arkon-oshejnik-dlya-sobak-krupnyh-porod-fetr-chernyj-krasnyj-40-54sm-h-2-5-sm-15805-1015433/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Foffrc04b6acf60d738cdc6b9df7fb2d7f60c.jpg&w=3840&q=70;485;"Аркон  Ошейник для собак Фетр, обхват шеи 37-51 см, ширина 2,5 см, черно-красный";"Ошейник для собак из двухслойного материала: верхний слой - кожа, нижний слой - цветной фетр. Мягкая подкладка из фетра создает комфорт при носке ошейника, не вытирает кожу собаки и препятствует спутыванию шерсти. Декоративная строчка по всему ошейнику. Качественная фурнитура.   ";"{""Артикул"":""1015433"",""Бренды"":""Аркон"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Крупный"",""Материал изготовления"":""Кожа"",""Базовый цвет"":""КРАСНЫЙ""}"
https://4lapy.ru/product/arkon-oshejnik-dlya-sobak-srednih-porod-fetr-chernyj-krasnyj-32-44x2-sm-15803-1015431/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Foffr9fd98710cc50e45d5f214a0fa28656c1.jpg&w=3840&q=70;325;"Аркон  Ошейник для собак средних пород Фетр, 24-37x2 см, черно-красный";"Ошейник от Аркон «Фетр» 20 для всех пород средних и крупных собак.  Верхний слой аксессуара выполнен из натуральной кожи черного цвета, а нижний слой из мягкого фетра голубого оттенка. Поводок крепится к надежному пристяжному кольцу из металла. Ширина шлейки составляет 20 мм, а регулирующая длина – от 24 до 37 см. Аккуратная декоративная строчка подчеркнет индивидуальность воспитанника. Металлический замок на шлейке регулируется по окружности шеи животного.";"{""Артикул"":""1015431"",""Бренды"":""Аркон"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Средний"",""Материал изготовления"":""Кожа"",""Базовый цвет"":""КРАСНЫЙ""}"
https://4lapy.ru/product/rungo-oshejnik-s-neoprenom-25mm-50sm-malinovyj-18668-1056906/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2F319298.jpeg&w=3840&q=70;847;"Rungo  Ошейник для собак, обхват шеи 50 см, ширина 2,5 см, малиновый";"Ошейник для собак от бренда Rungo – стильный, прочный и износостойкий аксессуар для комфортных прогулок.  Размеры: длина 50 см, ширина 25 мм.  Преимущества:";"{""Артикул"":""1056906"",""Бренды"":""Rungo"",""Страна-производитель"":""Китай"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Биотан"",""Базовый цвет"":""РОЗОВЫЙ""}"
https://4lapy.ru/product/pet-line-oshejnik-strogij-dlya-sobak-srednih-porod-65-sm-3-8-mm-16700-1005717/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_10208.jpg&w=3840&q=70;2579;"Pet line  Ошейник для собак строгий, обхват шеи 63 см, ширина 3,8 см, серебряный";;"{""Артикул"":""1005717"",""Бренды"":""Pet line"",""Страна-производитель"":""Китай"",""Для кого"":""Собаки"",""Назначение"":""Амуниция Строгачи"",""Размер питомца"":""Крупный"",""Материал изготовления"":""Металл"",""Базовый цвет"":""СЕРЫЙ""}"
https://4lapy.ru/product/kaskad-oshejnik-dlya-sobak-srednih-porod-nejlon-s-ruchkoj-40-mm-obhvat-shei-40-60-sm-16116-1022307/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_20806.jpg&w=3840&q=70;959;"Каскад  Ошейник для собак средних пород нейлон с ручкой 40 мм, обхват шеи 40-60 см";"Каскад Ошейник нейлон 40 мм с ручкой , обхват шеи 40-60 см позволит легко и надежно схватит питомца за ошейник, без угрозы причинить ему дискомфорт излишним натягиванием ошейника. Такой ошейник полностью позволяет контролировать вашего питомца, что может быть необходимо во время дрессировки, посещения общественных мест, выставок.";"{""Артикул"":""1022307"",""Бренды"":""Каскад"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Средний"",""Материал изготовления"":""Нейлон"",""Базовый цвет"":""ЧЕРНЫЙ""}"
https://4lapy.ru/product/pet-line-oshejnik-dlya-krupnyh-sobak-strogij-s-karabinom-3-8-mm-h-26-65-sm-16689-1000485/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_10194.jpg&w=3840&q=70;1915;"Pet line  Ошейник для собак строгий, обхват шеи 65 см, ширина 3,8 см, серебряный";;"{""Артикул"":""1000485"",""Бренды"":""Pet line"",""Страна-производитель"":""Китай"",""Для кого"":""Собаки"",""Назначение"":""Амуниция Строгачи"",""Размер питомца"":""Крупный"",""Материал изготовления"":""Металл"",""Базовый цвет"":""СЕРЫЙ""}"
